"","x","y","Realm","km2"
"1",-0.25,10.25,3,3028.47842731973
"2",-0.25,10.75,3,3023.61575590894
"3",-0.25,11.25,3,3018.52415139989
"4",-0.25,11.75,3,3013.20397931912
"5",-0.25,12.25,3,3007.65562170924
"6",-0.25,12.75,3,3001.87947711552
"7",-0.25,13.25,3,2995.87596057161
"8",-0.25,13.75,3,2989.64550358473
"9",-0.25,14.25,3,2983.18855412013
"10",-0.25,14.75,3,2976.50557658483
"11",-0.25,15.25,3,2969.5970518107
"12",-0.25,15.75,3,2962.4634770368
"13",-0.25,16.25,3,2955.10536589098
"14",-0.25,16.75,3,2947.52324837081
"15",-0.25,17.25,3,2939.71767082364
"16",-0.25,17.75,3,2931.68919592603
"17",-0.25,18.25,3,2923.43840266233
"18",-0.25,18.75,3,2914.96588630247
"19",-0.25,19.25,3,2906.272258379
"20",-0.25,19.75,3,2897.35814666327
"21",-0.25,20.25,3,2888.22419514083
"22",-0.25,20.75,3,2878.87106398593
"23",-0.25,21.25,3,2869.29942953525
"24",-0.25,21.75,3,2859.50998426067
"25",-0.25,22.25,3,2849.50343674126
"26",-0.25,22.75,3,2839.28051163428
"27",-0.25,23.25,3,2828.84194964537
"28",-0.25,23.75,3,2818.1885074977
"29",-0.25,24.25,8,2807.3209579003
"30",-0.25,24.75,8,2796.24008951536
"31",-0.25,25.25,8,2784.94670692461
"32",-0.25,25.75,8,2773.44163059464
"33",-0.25,26.25,8,2761.72569684135
"34",-0.25,26.75,8,2749.79975779328
"35",-0.25,27.25,8,2737.66468135392
"36",-0.25,27.75,8,2725.32135116308
"37",-0.25,28.25,8,2712.77066655703
"38",-0.25,28.75,8,2700.01354252773
"39",-0.25,29.25,8,2687.05090968091
"40",-0.25,29.75,8,2673.88371419296
"41",-0.25,30.25,8,2660.51291776686
"42",-0.25,30.75,8,2646.93949758685
"43",-0.25,31.25,8,2633.16444627199
"44",-0.25,31.75,8,2619.18877182859
"45",-0.25,32.25,8,2605.01349760135
"46",-0.25,32.75,8,2590.63966222347
"47",-0.25,33.25,8,2576.06831956536
"48",-0.25,33.75,8,2561.30053868229
"49",-0.25,34.25,8,2546.33740376067
"50",-0.25,34.75,8,2531.18001406317
"51",-0.25,35.25,8,2515.8294838725
"52",-0.25,35.75,8,2500.28694243394
"53",-0.25,37.25,11,2452.51876627872
"54",-0.25,37.75,11,2436.21976946785
"55",-0.25,38.25,11,2419.73462997047
"56",-0.25,38.75,11,2403.06456552643
"57",-0.25,39.25,11,2386.21080839865
"58",-0.25,39.75,11,2369.17460530477
"59",-0.25,40.25,11,2351.95721734757
"60",-0.25,40.75,11,2334.55991994385
"61",-0.25,41.25,11,2316.98400275189
"62",-0.25,41.75,11,2299.23076959751
"63",-0.25,42.25,11,2281.30153839867
"64",-0.25,42.75,11,2263.19764108855
"65",-0.25,43.25,11,2244.92042353725
"66",-0.25,43.75,11,2226.47124547188
"67",-0.25,44.25,11,2207.85148039531
"68",-0.25,44.75,11,2189.06251550327
"69",-0.25,45.25,11,2170.10575160001
"70",-0.25,45.75,11,2150.98260301247
"71",-0.25,46.25,11,2131.69449750281
"72",-0.25,46.75,11,2112.24287617953
"73",-0.25,47.25,11,2092.62919340696
"74",-0.25,47.75,11,2072.85491671322
"75",-0.25,48.25,11,2052.92152669665
"76",-0.25,48.75,11,2032.83051693063
"77",-0.25,49.25,11,2012.58339386686
"78",-0.25,49.75,11,1992.18167673708
"79",-0.25,5.25,3,3064.44523805807
"80",-0.25,5.75,3,3061.88835966155
"81",-0.25,50.25,11,1971.62689745317
"82",-0.25,50.75,11,1950.9206005057
"83",-0.25,51.25,11,1930.06434286089
"84",-0.25,51.75,11,1909.05969385598
"85",-0.25,52.25,11,1887.90823509301
"86",-0.25,52.75,11,1866.611560331
"87",-0.25,53.25,11,1845.17127537655
"88",-0.25,53.75,11,1823.58899797285
"89",-0.25,54.25,11,1801.86635768709
"90",-0.25,54.75,11,1780.00499579626
"91",-0.25,6.25,3,3059.09980380483
"92",-0.25,6.75,3,3056.0797702497
"93",-0.25,60.25,11,1530.85516020752
"94",-0.25,60.75,11,1507.46125824858
"95",-0.25,7.25,3,3052.82847537459
"96",-0.25,7.75,3,3049.3461521672
"97",-0.25,8.25,3,3045.63305021664
"98",-0.25,8.75,3,3041.68943570486
"99",-0.25,9.25,3,3037.51559139762
"100",-0.25,9.75,3,3033.11181663473
"101",-0.75,10.25,3,3028.47842731973
"102",-0.75,10.75,3,3023.61575590894
"103",-0.75,11.25,3,3018.52415139989
"104",-0.75,11.75,3,3013.20397931912
"105",-0.75,12.25,3,3007.65562170924
"106",-0.75,12.75,3,3001.87947711552
"107",-0.75,13.25,3,2995.87596057161
"108",-0.75,13.75,3,2989.64550358473
"109",-0.75,14.25,3,2983.18855412013
"110",-0.75,14.75,3,2976.50557658483
"111",-0.75,15.25,3,2969.5970518107
"112",-0.75,15.75,3,2962.4634770368
"113",-0.75,16.25,3,2955.10536589098
"114",-0.75,16.75,3,2947.52324837081
"115",-0.75,17.25,3,2939.71767082364
"116",-0.75,17.75,3,2931.68919592603
"117",-0.75,18.25,3,2923.43840266233
"118",-0.75,18.75,3,2914.96588630247
"119",-0.75,19.25,3,2906.272258379
"120",-0.75,19.75,3,2897.35814666327
"121",-0.75,20.25,3,2888.22419514083
"122",-0.75,20.75,3,2878.87106398593
"123",-0.75,21.25,3,2869.29942953525
"124",-0.75,21.75,3,2859.50998426067
"125",-0.75,22.25,3,2849.50343674126
"126",-0.75,22.75,3,2839.28051163428
"127",-0.75,23.25,3,2828.84194964537
"128",-0.75,23.75,3,2818.1885074977
"129",-0.75,24.25,8,2807.3209579003
"130",-0.75,24.75,8,2796.24008951536
"131",-0.75,25.25,8,2784.94670692461
"132",-0.75,25.75,8,2773.44163059464
"133",-0.75,26.25,8,2761.72569684135
"134",-0.75,26.75,8,2749.79975779328
"135",-0.75,27.25,8,2737.66468135392
"136",-0.75,27.75,8,2725.32135116308
"137",-0.75,28.25,8,2712.77066655703
"138",-0.75,28.75,8,2700.01354252773
"139",-0.75,29.25,8,2687.05090968091
"140",-0.75,29.75,8,2673.88371419296
"141",-0.75,30.25,8,2660.51291776686
"142",-0.75,30.75,8,2646.93949758685
"143",-0.75,31.25,8,2633.16444627199
"144",-0.75,31.75,8,2619.18877182859
"145",-0.75,32.25,8,2605.01349760135
"146",-0.75,32.75,8,2590.63966222347
"147",-0.75,33.25,8,2576.06831956536
"148",-0.75,33.75,8,2561.30053868229
"149",-0.75,34.25,8,2546.33740376067
"150",-0.75,34.75,8,2531.18001406317
"151",-0.75,35.25,8,2515.8294838725
"152",-0.75,35.75,8,2500.28694243394
"153",-0.75,37.25,11,2452.51876627872
"154",-0.75,37.75,11,2436.21976946785
"155",-0.75,38.25,11,2419.73462997047
"156",-0.75,38.75,11,2403.06456552643
"157",-0.75,39.25,11,2386.21080839865
"158",-0.75,39.75,11,2369.17460530477
"159",-0.75,40.25,11,2351.95721734757
"160",-0.75,40.75,11,2334.55991994385
"161",-0.75,41.25,11,2316.98400275189
"162",-0.75,41.75,11,2299.23076959751
"163",-0.75,42.25,11,2281.30153839867
"164",-0.75,42.75,11,2263.19764108855
"165",-0.75,43.25,11,2244.92042353725
"166",-0.75,43.75,11,2226.47124547188
"167",-0.75,44.25,11,2207.85148039531
"168",-0.75,44.75,11,2189.06251550327
"169",-0.75,45.25,11,2170.10575160001
"170",-0.75,45.75,11,2150.98260301247
"171",-0.75,46.25,11,2131.69449750281
"172",-0.75,46.75,11,2112.24287617953
"173",-0.75,47.25,11,2092.62919340696
"174",-0.75,47.75,11,2072.85491671322
"175",-0.75,48.25,11,2052.92152669665
"176",-0.75,48.75,11,2032.83051693063
"177",-0.75,49.25,11,2012.58339386686
"178",-0.75,49.75,11,1992.18167673708
"179",-0.75,5.25,3,3064.44523805807
"180",-0.75,5.75,3,3061.88835966155
"181",-0.75,50.25,11,1971.62689745317
"182",-0.75,50.75,11,1950.9206005057
"183",-0.75,51.25,11,1930.06434286089
"184",-0.75,51.75,11,1909.05969385598
"185",-0.75,52.25,11,1887.90823509301
"186",-0.75,52.75,11,1866.611560331
"187",-0.75,53.25,11,1845.17127537655
"188",-0.75,53.75,11,1823.58899797285
"189",-0.75,54.25,11,1801.86635768709
"190",-0.75,54.75,11,1780.00499579626
"191",-0.75,6.25,3,3059.09980380483
"192",-0.75,6.75,3,3056.0797702497
"193",-0.75,60.25,11,1530.85516020752
"194",-0.75,60.75,11,1507.46125824858
"195",-0.75,7.25,3,3052.82847537459
"196",-0.75,7.75,3,3049.3461521672
"197",-0.75,8.25,3,3045.63305021664
"198",-0.75,8.75,3,3041.68943570486
"199",-0.75,9.25,3,3037.51559139762
"200",-0.75,9.75,3,3033.11181663473
"201",-1.25,10.25,3,3028.47842731973
"202",-1.25,10.75,3,3023.61575590894
"203",-1.25,11.25,3,3018.52415139989
"204",-1.25,11.75,3,3013.20397931912
"205",-1.25,12.25,3,3007.65562170924
"206",-1.25,12.75,3,3001.87947711552
"207",-1.25,13.25,3,2995.87596057161
"208",-1.25,13.75,3,2989.64550358473
"209",-1.25,14.25,3,2983.18855412013
"210",-1.25,14.75,3,2976.50557658483
"211",-1.25,15.25,3,2969.5970518107
"212",-1.25,15.75,3,2962.4634770368
"213",-1.25,16.25,3,2955.10536589098
"214",-1.25,16.75,3,2947.52324837081
"215",-1.25,17.25,3,2939.71767082364
"216",-1.25,17.75,3,2931.68919592603
"217",-1.25,18.25,3,2923.43840266233
"218",-1.25,18.75,3,2914.96588630247
"219",-1.25,19.25,3,2906.272258379
"220",-1.25,19.75,3,2897.35814666327
"221",-1.25,20.25,3,2888.22419514083
"222",-1.25,20.75,3,2878.87106398593
"223",-1.25,21.25,3,2869.29942953525
"224",-1.25,21.75,3,2859.50998426067
"225",-1.25,22.25,3,2849.50343674126
"226",-1.25,22.75,3,2839.28051163428
"227",-1.25,23.25,3,2828.84194964537
"228",-1.25,23.75,3,2818.1885074977
"229",-1.25,24.25,8,2807.3209579003
"230",-1.25,24.75,8,2796.24008951536
"231",-1.25,25.25,8,2784.94670692461
"232",-1.25,25.75,8,2773.44163059464
"233",-1.25,26.25,8,2761.72569684135
"234",-1.25,26.75,8,2749.79975779328
"235",-1.25,27.25,8,2737.66468135392
"236",-1.25,27.75,8,2725.32135116308
"237",-1.25,28.25,8,2712.77066655703
"238",-1.25,28.75,8,2700.01354252773
"239",-1.25,29.25,8,2687.05090968091
"240",-1.25,29.75,8,2673.88371419296
"241",-1.25,30.25,8,2660.51291776686
"242",-1.25,30.75,8,2646.93949758685
"243",-1.25,31.25,8,2633.16444627199
"244",-1.25,31.75,8,2619.18877182859
"245",-1.25,32.25,8,2605.01349760135
"246",-1.25,32.75,8,2590.63966222347
"247",-1.25,33.25,8,2576.06831956536
"248",-1.25,33.75,8,2561.30053868229
"249",-1.25,34.25,8,2546.33740376067
"250",-1.25,34.75,8,2531.18001406317
"251",-1.25,35.25,8,2515.8294838725
"252",-1.25,35.75,8,2500.28694243394
"253",-1.25,36.25,11,2484.55353389657
"254",-1.25,36.75,11,2468.63041725315
"255",-1.25,37.25,11,2452.51876627872
"256",-1.25,37.75,11,2436.21976946785
"257",-1.25,38.25,11,2419.73462997047
"258",-1.25,38.75,11,2403.06456552643
"259",-1.25,39.25,11,2386.21080839865
"260",-1.25,39.75,11,2369.17460530477
"261",-1.25,4.25,3,3068.86324654611
"262",-1.25,4.75,3,3066.77025585591
"263",-1.25,40.25,11,2351.95721734757
"264",-1.25,40.75,11,2334.55991994385
"265",-1.25,41.25,11,2316.98400275189
"266",-1.25,41.75,11,2299.23076959751
"267",-1.25,42.25,11,2281.30153839867
"268",-1.25,42.75,11,2263.19764108855
"269",-1.25,43.25,11,2244.92042353725
"270",-1.25,43.75,11,2226.47124547188
"271",-1.25,44.25,11,2207.85148039531
"272",-1.25,44.75,11,2189.06251550327
"273",-1.25,45.25,11,2170.10575160001
"274",-1.25,45.75,11,2150.98260301247
"275",-1.25,46.25,11,2131.69449750281
"276",-1.25,46.75,11,2112.24287617953
"277",-1.25,47.25,11,2092.62919340696
"278",-1.25,47.75,11,2072.85491671322
"279",-1.25,48.25,11,2052.92152669665
"280",-1.25,48.75,11,2032.83051693063
"281",-1.25,49.25,11,2012.58339386686
"282",-1.25,49.75,11,1992.18167673708
"283",-1.25,5.25,3,3064.44523805807
"284",-1.25,5.75,3,3061.88835966155
"285",-1.25,50.25,11,1971.62689745317
"286",-1.25,50.75,11,1950.9206005057
"287",-1.25,51.25,11,1930.06434286089
"288",-1.25,51.75,11,1909.05969385598
"289",-1.25,52.25,11,1887.90823509301
"290",-1.25,52.75,11,1866.611560331
"291",-1.25,53.25,11,1845.17127537655
"292",-1.25,53.75,11,1823.58899797285
"293",-1.25,54.25,11,1801.86635768709
"294",-1.25,54.75,11,1780.00499579626
