"","IBA","ID","country","currentRich","futureRich","emmigrants","colonists","stablesp","GCM","SDM"
"1","Yungas Superiores de Madidi","14348","Bolivia","155","159","7","11","148","CCSM4","GAM"
"2","Noel Kempff Mercado","14349","Bolivia","115","112","5","2","110","CCSM4","GAM"
"3","Cuencas de Ríos Caine y Mizque","14350","Bolivia","132","131","4","3","128","CCSM4","GAM"
"4","Apolo","14353","Bolivia","135","131","13","9","122","CCSM4","GAM"
"5","Bajo Río Beni, Región Tacana","14354","Bolivia","94","77","20","3","74","CCSM4","GAM"
"6","Lagunas de Agua Dulce del Sureste de Potosí","14355","Bolivia","48","53","0","5","48","CCSM4","GAM"
"7","Lagunas Salinas del Suroeste de Potosí","14356","Bolivia","47","50","0","3","47","CCSM4","GAM"
"8","Cuenca Cotacajes","14357","Bolivia","96","101","9","14","87","CCSM4","GAM"
"9","Parque nacional Sajama","14358","Bolivia","57","62","0","5","57","CCSM4","GAM"
"10","Southern slopes of Tunari National Park (Vertiente Sur del Parque Nacional Tunari IBA)","14359","Bolivia","125","135","1","11","124","CCSM4","GAM"
"11","Yungas Inferiores de Amboró","14360","Bolivia","169","153","16","0","153","CCSM4","GAM"
"12","Lago Poopó y Río Laka Jahuira","14361","Bolivia","64","65","1","2","63","CCSM4","GAM"
"13","Bosque de Polylepis de Madidi","14362","Bolivia","152","165","0","13","152","CCSM4","GAM"
"14","Loreto","14363","Bolivia","92","78","17","3","75","CCSM4","GAM"
"15","Lago Titicaca (Sector Boliviano)","14364","Bolivia","80","80","1","1","79","CCSM4","GAM"
"16","Área Natural de Manejo Integrado San Matías","14365","Bolivia","110","102","9","1","101","CCSM4","GAM"
"17","Yungas Inferiores de Madidi","14367","Bolivia","147","140","10","3","137","CCSM4","GAM"
"18","Cristal Mayu y Alrededores","14368","Bolivia","102","100","12","10","90","CCSM4","GAM"
"19","Reserva de Inmovilización Iténez","14369","Bolivia","90","72","18","0","72","CCSM4","GAM"
"20","Reserva Nacional Amazónica Manuripi Heath","14370","Bolivia","98","82","18","2","80","CCSM4","GAM"
"21","Federico Román","14371","Bolivia","81","62","21","2","60","CCSM4","GAM"
"22","Tahuamanu","14372","Bolivia","98","80","20","2","78","CCSM4","GAM"
"23","Cercanías de Riberalta","14373","Bolivia","89","68","21","0","68","CCSM4","GAM"
"24","Reserva Biológica Cordillera de Sama","14374","Bolivia","85","97","1","13","84","CCSM4","GAM"
"25","Cerrado de Riberalta","14379","Bolivia","81","58","25","2","56","CCSM4","GAM"
"26","KAA-IYA del Gran Chaco","14381","Bolivia","111","88","24","1","87","CCSM4","GAM"
"27","Quebrada Mojón","14382","Bolivia","76","70","14","8","62","CCSM4","GAM"
"28","Cerro Q'ueñwa Sandora","14383","Bolivia","70","75","0","5","70","CCSM4","GAM"
"29","Azurduy","14384","Bolivia","115","116","6","7","109","CCSM4","GAM"
"30","Reserva Nacional de Flora y Fauna Tariquía","14386","Bolivia","119","110","12","3","107","CCSM4","GAM"
"31","Yungas Inferiores de Pilón Lajas","14387","Bolivia","118","108","10","0","108","CCSM4","GAM"
"32","Yungas Superiores de Apolobamba","14388","Bolivia","148","154","2","8","146","CCSM4","GAM"
"33","Yungas Superiores de Amboró","14390","Bolivia","145","139","13","7","132","CCSM4","GAM"
"34","Yungas Superiores de Carrasco","14391","Bolivia","166","160","9","3","157","CCSM4","GAM"
"35","Tacacoma-Quiabaya y Valle de Sorata","14392","Bolivia","101","112","2","13","99","CCSM4","GAM"
"36","Yungas Superiores de Mosetenes y Cocapata","14393","Bolivia","166","161","7","2","159","CCSM4","GAM"
"37","Yungas Inferiores de Isiboro-Sécure/Altamachi","14394","Bolivia","152","141","13","2","139","CCSM4","GAM"
"38","Palmar de las Islas","14396","Bolivia","81","63","19","1","62","CCSM4","GAM"
"39","Lagunas Rogaguado y Ginebra","14397","Bolivia","92","68","26","2","66","CCSM4","GAM"
"40","Reserva Forestal Alto Paraguá","14399","Bolivia","110","99","13","2","97","CCSM4","GAM"
"41","Yungas Inferiores de Carrasco","14401","Bolivia","168","161","11","4","157","CCSM4","GAM"
"42","Valle de San Salvador","14402","Colombia","82","89","0","7","82","CCSM4","GAM"
"43","Gravilleras del Valle del Río Siecha","14403","Colombia","59","62","0","3","59","CCSM4","GAM"
"44","Complejo Lacustre de Fúquene, Cucunubá y Palacio","14404","Colombia","62","66","1","5","61","CCSM4","GAM"
"45","Reserva Natural el Garcero y alrededores","14405","Colombia","73","74","2","3","71","CCSM4","GAM"
"46","Embalse de Punchiná y su zona de protección","14406","Colombia","65","60","9","4","56","CCSM4","GAM"
"47","Eco-parque Los Besotes","14408","Colombia","69","80","2","13","67","CCSM4","GAM"
"48","Reserva Biológica Cachalú","14409","Colombia","63","68","1","6","62","CCSM4","GAM"
"49","Reserva Natural Semillas de Agua","14410","Colombia","59","71","0","12","59","CCSM4","GAM"
"50","Embalse de San Lorenzo y Jaguas","14411","Colombia","84","89","1","6","83","CCSM4","GAM"
"51","Páramos y Bosques Altoandinos de Génova","14412","Colombia","59","71","0","12","59","CCSM4","GAM"
"52","Humedales de la Sabana de Bogotá","14413","Colombia","66","73","1","8","65","CCSM4","GAM"
"53","Reserva de Biósfera Seaflower","14414","Colombia","0","0","0","0","0","CCSM4","GAM"
"54","Reserva Natural Laguna de Sonso","14415","Colombia","76","76","5","5","71","CCSM4","GAM"
"55","Reserva Hidrográfica, Forestal y Parque Ecológico de Río Blanco","14416","Colombia","57","65","0","8","57","CCSM4","GAM"
"56","Valle del Río Frío","14417","Colombia","82","83","2","3","80","CCSM4","GAM"
"57","Cuchilla de San Lorenzo","14418","Colombia","71","70","4","3","67","CCSM4","GAM"
"58","Zona deltáica-estuarina del Río Sinú","14419","Colombia","61","61","2","2","59","CCSM4","GAM"
"59","Región del Alto Calima","14421","Colombia","79","80","3","4","76","CCSM4","GAM"
"60","Cañón del Río Barbas y Bremen","14422","Colombia","72","69","4","1","68","CCSM4","GAM"
"61","Capurganá","14423","Colombia","55","53","2","0","53","CCSM4","GAM"
"62","Cerro Pintado (Serranía de Perijá)","14424","Colombia","98","96","3","1","95","CCSM4","GAM"
"63","Serranía de las Quinchas","14425","Colombia","72","67","8","3","64","CCSM4","GAM"
"64","Reserva Natural Meremberg","14426","Colombia","59","68","1","10","58","CCSM4","GAM"
"65","Parque Nacional Natural Macuira","14428","Colombia","45","45","4","4","41","CCSM4","GAM"
"66","Región Ecodeltáica Fluvio-Estuarina del Canal del Dique","14429","Colombia","73","74","0","1","73","CCSM4","GAM"
"67","La Forzosa-Santa Gertrudis","14430","Colombia","89","88","3","2","86","CCSM4","GAM"
"68","La Planada Natural Reserve (Reserva Natural La Planada IBA)","14431","Colombia","96","100","1","5","95","CCSM4","GAM"
"69","Lago Cumbal","14432","Colombia","52","55","0","3","52","CCSM4","GAM"
"70","Parque Nacional Natural Amacayacu","14433","Colombia","64","62","3","1","61","CCSM4","GAM"
"71","Parque Nacional Natural Chingaza and surroundings","14434","Colombia","109","108","3","2","106","CCSM4","GAM"
"72","Parque Nacional Natural Cueva de los Guácharos","14435","Colombia","83","87","2","6","81","CCSM4","GAM"
"73","Parque Nacional Natural Las Orquídeas","14436","Colombia","70","73","0","3","70","CCSM4","GAM"
"74","Farallones de Cali Natural National Park","14437","Colombia","89","89","3","3","86","CCSM4","GAM"
"75","Parque Nacional Natural Los Katíos","14438","Colombia","57","57","5","5","52","CCSM4","GAM"
"76","Santuario de Fauna y Flora Los Colorados","14439","Colombia","69","70","1","2","68","CCSM4","GAM"
"77","Complejo de Humedales Costeros de la Guajira","14440","Colombia","77","73","4","0","73","CCSM4","GAM"
"78","Ciénaga de Ayapel","14442","Colombia","53","58","2","7","51","CCSM4","GAM"
"79","Parque Nacional Natural Nevado del Huila","14443","Colombia","90","90","3","3","87","CCSM4","GAM"
"80","Paramillo Natural National Park (Parque Nacional Natural Paramillo IBA)","14444","Colombia","87","88","0","1","87","CCSM4","GAM"
"81","Parque Nacional Natural Tatamá","14445","Colombia","80","83","0","3","80","CCSM4","GAM"
"82","Parque Nacional Natural Tayrona","14446","Colombia","71","70","4","3","67","CCSM4","GAM"
"83","Pueblo Bello","14447","Colombia","76","73","7","4","69","CCSM4","GAM"
"84","Reserva Natural El Pangán","14448","Colombia","77","77","1","1","76","CCSM4","GAM"
"85","Reserva Natural Tambito","14449","Colombia","100","101","4","5","96","CCSM4","GAM"
"86","Reserva Regional Bajo Cauca Nechí","14450","Colombia","82","79","3","0","79","CCSM4","GAM"
"87","Serranía de los Yariguíes","14451","Colombia","100","98","2","0","98","CCSM4","GAM"
"88","Serranía de los Churumbelos","14452","Colombia","109","107","3","1","106","CCSM4","GAM"
"89","Serranía de San Lucas","14453","Colombia","87","83","7","3","80","CCSM4","GAM"
"90","Parque Nacional Natural Ensenada de Utría","14454","Colombia","53","55","1","3","52","CCSM4","GAM"
"91","Lagunas Bombona y Vancouver","14455","Colombia","56","56","0","0","56","CCSM4","GAM"
"92","Complejo cenagoso de la margen occidental del Río Sinú","14456","Colombia","61","61","2","2","59","CCSM4","GAM"
